,name,rating,genre,score,votes,director,writer,star,country,budget,gross revenue,company,runtime,release month,release day,release year,release month num,release date,release quarter,release day of week
5417,The Watcher in the Woods,PG,Family,6.3,5700.0,John Hough,Brian Clemens,Bette Davis,United States,-28955173.564009786,5000000.0,Walt Disney Productions,84.0,October,9,1981,10,1981-10-09,4,Friday
5457,My Bloody Valentine,R,Horror,6.3,19000.0,George Mihalka,Stephen A. Miller,Paul Kelman,Canada,-2165629.4910774715,5672031.0,Canadian Film Development Corporation (CFDC),90.0,February,11,1981,2,1981-02-11,1,Wednesday
5477,Raggedy Man,R,Drama,6.8,1400.0,Jack Fisk,William D. Wittliff,Sissy Spacek,United States,-511470.2831393704,1976198.0,Universal Pictures,94.0,September,18,1981,9,1981-09-18,3,Friday
5517,The Return of Martin Guerre,Not Rated,Biography,7.4,4100.0,Daniel Vigne,Jean-Claude Carrière,Gérard Depardieu,France,-2291388.9868652634,3723036.0,S.F.P.C.,112.0,August,26,1983,8,1983-08-26,3,Friday
5523,Richard Pryor: Live on the Sunset Strip,R,Comedy,7.7,3900.0,Joe Layton,Paul Mooney,Richard Pryor,United States,-5365680.836486898,36299720.0,Columbia Pictures,82.0,March,12,1982,3,1982-03-12,1,Friday
5541,Tender Mercies,PG,Drama,7.4,9700.0,Bruce Beresford,Horton Foote,Robert Duvall,United States,-64503.98816308752,8443124.0,Antron Media Production,92.0,March,4,1983,3,1983-03-04,1,Friday
5551,Zelig,PG,Comedy,7.7,41000.0,Woody Allen,Woody Allen,Woody Allen,United States,-5787897.387341756,11798616.0,Jack Rollins & Charles H. Joffe Productions,79.0,August,25,1983,8,1983-08-25,3,Thursday
5571,Richard Pryor... Here and Now,R,Comedy,7.3,2200.0,Richard Pryor,Paul Mooney,Richard Pryor,United States,-5042943.11728102,16156776.0,Columbia Pictures,83.0,October,28,1983,10,1983-10-28,4,Friday
5634,A Sunday in the Country,G,Drama,7.6,2500.0,Bertrand Tavernier,Pierre Bost,Louis Ducreux,France,-8010061.230710838,2411143.0,Films A2,90.0,April,11,1984,4,1984-04-11,2,Wednesday
5657,D.A.R.Y.L.,PG,Family,6.3,12000.0,Simon Wincer,David Ambrose,Mary Beth Hurt,United Kingdom,-20732447.98245024,7840873.0,Paramount Pictures,99.0,June,14,1985,6,1985-06-14,2,Friday
5665,My Life as a Dog,Unrated,Drama,7.6,19000.0,Lasse Hallström,Reidar Jönsson,Anton Glanzelius,Sweden,-3119966.5940181613,8349284.0,Svensk Filmindustri (SF),101.0,May,1,1987,5,1987-05-01,2,Friday
5686,The Official Story,Not Rated,Drama,7.8,8800.0,Luis Puenzo,Aída Bortnik,Norma Aleandro,Argentina,-5979746.249355037,69832.0,Historias Cinematograficas Cinemania,112.0,November,8,1985,11,1985-11-08,4,Friday
5697,One Magic Christmas,G,Family,6.5,3400.0,Phillip Borsos,Thomas Meehan,Mary Steenburgen,Canada,-31237338.50184125,13677222.0,Walt Disney Pictures,89.0,November,22,1985,11,1985-11-22,4,Friday
5721,Working Girls,Unrated,Drama,6.6,780.0,Lizzie Borden,Lizzie Borden,Louise Smith,United States,-1851108.118552141,1777378.0,Alternate Current,93.0,March,20,1987,3,1987-03-20,1,Friday
5757,Summer,R,Drama,7.7,7700.0,Éric Rohmer,Marie Rivière,Marie Rivière,France,-3884470.0741161695,63137.0,Ministère de la Culture et de la Communication,99.0,August,29,1986,8,1986-08-29,3,Friday
5795,Nutcracker,G,Family,7.2,1000.0,Carroll Ballard,Kent Stowell,Hugh Duncan Bigney Mitchell,United States,-37455627.88003807,781727.0,Hyperion Pictures,89.0,November,26,1986,11,1986-11-26,4,Wednesday
5802,Hellraiser,R,Horror,7.0,108000.0,Clive Barker,Clive Barker,Andrew Robinson,United Kingdom,-3172296.333399516,14575193.0,New World Pictures,94.0,September,18,1987,9,1987-09-18,3,Friday
5813,The Stepfather,R,Horror,6.8,14000.0,Joseph Ruben,Carolyn Lefcourt,Terry O'Quinn,United Kingdom,-6313585.807046685,2488740.0,Incorporated Television Company (ITC),89.0,June,5,1987,6,1987-06-05,2,Friday
5826,Babette's Feast,G,Drama,7.8,19000.0,Gabriel Axel,Karen Blixen,Stéphane Audran,Denmark,-2170577.732571829,4637920.0,Panorama Film A/S,103.0,March,4,1988,3,1988-03-04,1,Friday
5845,Wish You Were Here,R,Comedy,6.8,2700.0,David Leland,David Leland,Emily Lloyd,United Kingdom,-1002783.7770093456,3283832.0,Channel Four Films,88.0,July,24,1987,7,1987-07-24,3,Friday
5848,The Whales of August,Not Rated,Drama,7.3,4400.0,Lindsay Anderson,David Berry,Bette Davis,United States,-14107059.891482431,1338198.0,Alive Films,90.0,August,19,1987,8,1987-08-19,3,Wednesday
5856,The Dead,PG,Drama,7.3,7300.0,John Huston,James Joyce,Anjelica Huston,United Kingdom,-4681526.866182748,4370078.0,Vestron Pictures,83.0,December,18,1987,12,1987-12-18,4,Friday
