name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross revenue,company,runtime,release month,release day,release year,other,release month num,release date,release quarter,release day of week,FILM,title_urled,budget_scraped
Fame,R,Drama,1980,"May 16, 1980 (United States)",6.6,21000.0,Alan Parker,Christopher Gore,Eddie Barth,United States,,21202829.0,Metro-Goldwyn-Mayer (MGM),134.0,May,16,1980,(United States),5,1980-05-16,2,Friday,Fame (1980),fame_1980,$8.5 million[3]
Stir Crazy,R,Comedy,1980,"December 12, 1980 (United States)",6.8,26000.0,Sidney Poitier,Bruce Jay Friedman,Gene Wilder,United States,,101300000.0,Columbia Pictures,111.0,December,12,1980,(United States),12,1980-12-12,4,Friday,Stir Crazy (1980),stir_crazy_1980,$10 million[1]
Urban Cowboy,PG,Drama,1980,"June 6, 1980 (United States)",6.4,14000.0,James Bridges,Aaron Latham,John Travolta,United States,,46918287.0,Paramount Pictures,132.0,June,6,1980,(United States),6,1980-06-06,2,Friday,Urban Cowboy (1980),urban_cowboy_1980,$10 million[1]
Altered States,R,Horror,1980,"December 25, 1980 (United States)",6.9,33000.0,Ken Russell,Paddy Chayefsky,William Hurt,United States,,19853892.0,Warner Bros.,102.0,December,25,1980,(United States),12,1980-12-25,4,Thursday,Altered States (1980),altered_states_1980,$14.9 million[1][2]
Little Darlings,R,Comedy,1980,"March 21, 1980 (United States)",6.5,5100.0,Ron Maxwell,Kimi Peck,Tatum O'Neal,United States,,34326249.0,Stephen Friedman/Kings Road Productions,96.0,March,21,1980,(United States),3,1980-03-21,1,Friday,Little Darlings (1980),little_darlings_1980,$5.3 million[1]
My Bodyguard,PG,Comedy,1980,"September 26, 1980 (United States)",7.1,8900.0,Tony Bill,Alan Ormsby,Chris Makepeace,United States,,22482952.0,Twentieth Century Fox,102.0,September,26,1980,(United States),9,1980-09-26,3,Friday,My Bodyguard (1980),my_bodyguard_1980,$3 million[1]
Prom Night,R,Horror,1980,"July 18, 1980 (United States)",5.4,16000.0,Paul Lynch,William Gray,Leslie Nielsen,Canada,,14796236.0,Guardian Trust Company,92.0,July,18,1980,(United States),7,1980-07-18,3,Friday,Prom Night (1980),prom_night_1980,$1.5 million[2][3]
Smokey and the Bandit II,PG,Action,1980,"August 15, 1980 (United States)",5.3,15000.0,Hal Needham,Hal Needham,Burt Reynolds,United States,,66132626.0,Universal Pictures,100.0,August,15,1980,(United States),8,1980-08-15,3,Friday,Smokey and the Bandit II (1980),smokey_and_the_bandit_ii_1980,$17 million[1][better source needed]
Seems Like Old Times,PG,Comedy,1980,"December 19, 1980 (United States)",6.7,9100.0,Jay Sandrich,Neil Simon,Goldie Hawn,United States,,43995918.0,Rastar Films,102.0,December,19,1980,(United States),12,1980-12-19,4,Friday,Seems Like Old Times (1980),seems_like_old_times_1980,
The Jazz Singer,PG,Drama,1980,"December 19, 1980 (United States)",5.9,4000.0,Richard Fleischer,Samson Raphaelson,Laurence Olivier,United States,,27118000.0,EMI Films,115.0,December,19,1980,(United States),12,1980-12-19,4,Friday,The Jazz Singer (1980),the_jazz_singer_1980,$13 million
Coal Miner's Daughter,PG,Biography,1980,"March 7, 1980 (United States)",7.5,17000.0,Michael Apted,Thomas Rickman,Sissy Spacek,United States,,67182787.0,Universal Pictures,124.0,March,7,1980,(United States),3,1980-03-07,1,Friday,Coal Miner's Daughter (1980),coal_miner_s_daughter_1980,$15 million(equivalent to $40.3 million in 2020)[1]
Breaker Morant,PG,Drama,1980,"July 3, 1980 (Australia)",7.9,13000.0,Bruce Beresford,Jonathan Hardy,Edward Woodward,Australia,,,The South Australian Film Corporation,107.0,July,3,1980,(Australia),7,1980-07-03,3,Thursday,Breaker Morant (1980),breaker_morant_1980,"A$800,000[1]"
Where the Buffalo Roam,R,Biography,1980,"April 25, 1980 (United States)",6.6,11000.0,Art Linson,Hunter S. Thompson,Peter Boyle,United States,,6659377.0,Universal Pictures,99.0,April,25,1980,(United States),4,1980-04-25,2,Friday,Where the Buffalo Roam (1980),where_the_buffalo_roam_1980,
The Awakening,R,Horror,1980,"October 31, 1980 (United States)",4.8,2000.0,Mike Newell,Allan Scott,Charlton Heston,United Kingdom,,8415112.0,EMI Films,101.0,October,31,1980,(United States),10,1980-10-31,4,Friday,The Awakening (1980),the_awakening_1980,AUS$5.3 million[2]
Cheech and Chong's Next Movie,R,Comedy,1980,"July 18, 1980 (United States)",6.1,12000.0,Tommy Chong,Tommy Chong,Cheech Marin,United States,,41675194.0,Universal Pictures,99.0,July,18,1980,(United States),7,1980-07-18,3,Friday,Cheech and Chong's Next Movie (1980),cheech_and_chong_s_next_movie_1980,
The Private Eyes,PG,Comedy,1980,"November 21, 1980 (United States)",6.7,2900.0,Lang Elliott,Tim Conway,Tim Conway,United States,,,Tri Star Productions,91.0,November,21,1980,(United States),11,1980-11-21,4,Friday,The Private Eyes (1980),the_private_eyes_1980,$2.3 million[1]
Herbie Goes Bananas,G,Adventure,1980,"June 25, 1980 (United States)",5.0,5300.0,Vincent McEveety,Don Tait,Charles Martin Smith,United States,,18000000.0,Walt Disney Productions,100.0,June,25,1980,(United States),6,1980-06-25,2,Wednesday,Herbie Goes Bananas (1980),herbie_goes_bananas_1980,
The Competition,PG,Drama,1980,"December 3, 1980 (United States)",6.7,1900.0,Joel Oliansky,Joel Oliansky,Richard Dreyfuss,United States,,14287755.0,Rastar Films,123.0,December,3,1980,(United States),12,1980-12-03,4,Wednesday,The Competition (1980),the_competition_1980,
