,0
name,The Shining
score,8.4
votes,927000.0
budget,19000000
gross revenue,46998772
runtime,146.0
gross profit,27998772
release month,June
release day,13
release year,1980
release month num,6
release date,1980-06-13
release quarter,2
rating_G,0
rating_NC-17,0
rating_Not Rated,0
rating_PG,0
rating_PG-13,0
rating_R,1
rating_TV-MA,0
rating_Unrated,0
rating_X,0
genre_Adventure,0
genre_Animation,0
genre_Biography,0
genre_Comedy,0
genre_Crime,0
genre_Drama,1
genre_Family,0
genre_Fantasy,0
genre_Horror,0
genre_Mystery,0
genre_Romance,0
genre_Sci-Fi,0
genre_Thriller,0
genre_Western,0
director_Aaron Norris,0
director_Aaron Seltzer,0
director_Aaron Sorkin,0
director_Abby Kohn,0
director_Abe Sylvia,0
director_Abel Ferrara,0
director_Adam Brooks,0
director_Adam Green,0
director_Adam McKay,0
director_Adam Resnick,0
director_Adam Rifkin,0
director_Adam Robitel,0
director_Adam Shankman,0
director_Adam Simon,0
director_Adam Wingard,0
director_Adil El Arbi,0
director_Adrian Grunberg,0
director_Adrian Lyne,0
director_Adrienne Shelly,0
director_Agnieszka Holland,0
director_Agnieszka Wojtowicz-Vosloo,0
director_Akira Kurosawa,0
director_Akiva Goldsman,0
director_Akiva Schaffer,0
director_Alan Cohn,0
director_Alan J. Pakula,0
director_Alan Johnson,0
director_Alan Metter,0
director_Alan Myerson,0
director_Alan Parker,0
director_Alan Poul,0
director_Alan Rudolph,0
director_Alan Shapiro,0
director_Alan Taylor,0
director_Albert Hughes,0
director_Albert Magnoli,0
director_Albert Pyun,0
director_Alejandro Agresti,0
director_Alejandro Amenábar,0
director_Alejandro G. Iñárritu,0
director_Aleksander Bach,0
director_Alessandro Carloni,0
director_Alex Cox,0
director_Alex Garland,0
director_Alex Kendrick,0
director_Alex Kurtzman,0
director_Alex Proyas,0
director_Alexander Payne,0
director_Alexander Witt,0
director_Alexandre Aja,0
director_Alfonso Arau,0
director_Alfonso Cuarón,0
director_Alfonso Gomez-Rejon,0
director_Alison Maclean,0
director_Alister Grierson,0
director_Allan A. Goldstein,0
director_Allan Arkush,0
director_Allan Moyle,0
director_Allen Coulter,0
director_Allen Hughes,0
director_Allison Anders,0
director_Amma Asante,0
director_Amy Heckerling,0
director_Amy Holden Jones,0
director_Ana Lily Amirpour,0
director_Anand Tucker,0
director_Andrea Arnold,0
director_Andrea Berloff,0
director_Andrew Adamson,0
director_Andrew Bergman,0
director_Andrew Davis,0
director_Andrew Dominik,0
director_Andrew Douglas,0
director_Andrew Erwin,0
director_Andrew Fleming,0
director_Andrew Jay Cohen,0
director_Andrew Lau,0
director_Andrew Morahan,0
director_Andrew Niccol,0
director_Andrew Sipes,0
director_Andrew Stanton,0
director_Andrew V. McLaglen,0
director_Andrey Konchalovskiy,0
director_Andrzej Bartkowiak,0
director_André Øvredal,0
director_Andy Cadiff,0
director_Andy Fickman,0
director_Andy Garcia,0
director_Andy Muschietti,0
director_Andy Tennant,0
director_Andy Wilson,0
director_Aneesh Chaganty,0
director_Ang Lee,0
director_Angela Robinson,0
director_Angelina Jolie,0
director_Anna Boden,0
director_Anna Foerster,0
director_Annabel Jankel,0
director_Anne Fletcher,0
director_Anne Fontaine,0
director_Anthony Drazan,0
director_Anthony Hemingway,0
director_Anthony Hickox,0
director_Anthony Minghella,0
director_Anthony Russo,0
director_Anthony Waller,0
director_Antoine Fuqua,0
director_Anton Corbijn,0
director_Antonia Bird,0
director_Antonio Banderas,0
director_Antony Hoffman,0
director_Ari Aster,0
director_Ari Folman,0
director_Ari Sandel,0
director_Arie Posin,0
director_Ariel Vromen,0
director_Arlene Sanford,0
director_Armando Iannucci,0
director_Arna Selznick,0
director_Arne Glimcher,0
director_Arthur Hiller,0
director_Asger Leth,0
director_Asghar Farhadi,0
director_Ash Brannon,0
director_Ate de Jong,0
director_Atom Egoyan,0
director_Audrey Wells,0
director_Ava DuVernay,0
director_Babak Najafi,0
director_Baltasar Kormákur,0
director_Baran bo Odar,0
director_Barbet Schroeder,0
director_Barbra Streisand,0
director_Barry Jenkins,0
director_Barry Levinson,0
director_Barry Sonnenfeld,0
director_Bart Freundlich,0
director_Baz Luhrmann,0
director_Beeban Kidron,0
director_Ben Affleck,0
director_Ben Falcone,0
director_Ben Lewin,0
director_Ben Stiller,0
director_Ben Younger,0
director_Benh Zeitlin,0
director_Bennett Miller,0
director_Benny Boom,0
director_Benny Safdie,0
director_Bent Hamer,0
director_Bernard Rose,0
director_Bernardo Bertolucci,0
director_Bethany Ashton Wolf,0
director_Betty Thomas,0
director_Bibo Bergeron,0
director_Bill Condon,0
director_Bill Couturié,0
director_Bill Duke,0
director_Bill Fishman,0
director_Bill Forsyth,0
director_Bill Holderman,0
director_Bill Kroyer,0
director_Bill Paxton,0
director_Bill Pohlad,0
director_Bille August,0
director_Bille Woodruff,0
director_Billy Bob Thornton,0
director_Billy Crystal,0
director_Billy Ray,0
director_Billy Weber,0
director_Billy Wilder,0
director_Blair Hayes,0
director_Blake Edwards,0
director_Bo Burnham,0
director_Bo Welch,0
director_Boaz Yakin,0
director_Bob Balaban,0
director_Bob Clark,0
director_Bob Dolman,0
director_Bob Fosse,0
director_Bob Giraldi,0
director_Bob Odenkirk,0
director_Bob Persichetti,0
director_Bob Rafelson,0
director_Bob Saget,0
director_Bob Spiers,0
director_Bob Swaim,0
director_Bobby Farrelly,0
director_Bobcat Goldthwait,0
director_Bong Joon Ho,0
director_Bonnie Hunt,0
director_Boots Riley,0
director_Brad Anderson,0
director_Brad Bird,0
director_Brad Furman,0
director_Brad Peyton,0
director_Brad Silberling,0
director_Bradley Cooper,0
director_Bradley Parker,0
director_Brandon Camp,0
director_Breck Eisner,0
director_Brenda Chapman,0
director_Brendan Malloy,0
director_Brett Haley,0
director_Brett Leonard,0
director_Brett Ratner,0
director_Brian Dannelly,0
director_Brian De Palma,0
director_Brian Fee,0
director_Brian G. Hutton,0
director_Brian Gibson,0
director_Brian Gilbert,0
director_Brian Helgeland,0
director_Brian Henson,0
director_Brian Klugman,0
director_Brian Levant,0
director_Brian Percival,0
director_Brian Robbins,0
director_Britt Allcroft,0
director_Bronwen Hughes,0
director_Bruce A. Evans,0
director_Bruce Beresford,0
director_Bruce Hunt,0
director_Bruce Joel Rubin,0
director_Bruce Malmuth,0
director_Bruce McCulloch,0
director_Bruce McDonald,0
director_Bruce Paltrow,0
director_Bruce Robinson,0
director_Bruno Barreto,0
director_Bryan Bertino,0
director_Bryan Buckley,0
director_Bryan Singer,0
director_Bryan Spicer,0
director_Bud S. Smith,0
director_Bud Yorkin,0
director_Buddy Van Horn,0
director_Burr Steers,0
director_Burt Reynolds,0
director_Byron Howard,0
director_C. Jay Cox,0
director_Cal Brunker,0
director_Callie Khouri,0
director_Cameron Crowe,0
director_Camille Delamarre,0
director_Campbell Scott,0
director_Carl Franklin,0
director_Carl Reiner,0
director_Carl Rinsch,0
director_Carl Schenkel,0
director_Carlo Carlei,0
director_Carlos Saldanha,0
director_Carroll Ballard,0
director_Carter Smith,0
director_Cary Joji Fukunaga,0
director_Casey La Scala,0
director_Catherine Hardwicke,0
director_Cathy Malkasian,0
director_Cathy Yan,0
director_Cedric Nicolas-Troyan,0
director_Chad Stahelski,0
director_Charles Band,0
director_Charles Crichton,0
director_Charles E. Sellier Jr.,0
director_Charles Grosvenor,0
director_Charles Herman-Wurmfeld,0
director_Charles Jarrott,0
director_Charles Martin Smith,0
director_Charles Shyer,0
director_Charles Stone III,0
director_Charles T. Kanganis,0
director_Charlie Bean,0
director_Charlie Kaufman,0
director_Charlie McDowell,0
director_Chia-Liang Liu,0
director_Chris Addison,0
director_Chris Buck,0
director_Chris Butler,0
director_Chris Carter,0
director_Chris Columbus,0
director_Chris Eyre,0
director_Chris Gorak,0
director_Chris Kentis,0
director_Chris Koch,0
director_Chris McKay,0
director_Chris Menges,0
director_Chris Miller,0
director_Chris Nahon,0
director_Chris Noonan,0
director_Chris Renaud,0
director_Chris Roberts,0
director_Chris Robinson,0
director_Chris Rock,0
director_Chris Sanders,0
director_Chris Sivertson,0
director_Chris Stokes,0
director_Chris Wedge,0
director_Chris Weitz,0
director_Christian Alvart,0
director_Christian Ditter,0
director_Christian Duguay,0
director_Christian E. Christiansen,0
director_Christian Gudegast,0
director_Christian Rivers,0
director_Christine Jeffs,0
director_Christophe Gans,0
director_Christopher Cain,0
director_Christopher Coppola,0
director_Christopher Crowe,0
director_Christopher Erskin,0
director_Christopher Guest,0
director_Christopher Landon,0
director_Christopher Leitch,0
director_Christopher McQuarrie,0
director_Christopher Miller,0
director_Christopher Monger,0
director_Christopher Nolan,0
director_Chuck Konzelman,0
director_Chuck Russell,0
director_Chuck Sheetz,0
director_Ciarán Foy,0
director_Claire McCarthy,0
director_Clare Kilner,0
director_Clark Gregg,0
director_Clark Johnson,0
director_Clay Kaytis,0
director_Clint Eastwood,0
director_Clive Barker,0
director_Clive Donner,0
director_Clive Smith,0
director_Cody Cameron,0
director_Colin Brady,0
director_Colin Higgins,0
director_Colin Strause,0
director_Colin Trevorrow,0
director_Corey Yuen,0
director_Corin Hardy,0
director_Cory Edwards,0
director_Cory Finley,0
director_Costa-Gavras,0
director_Courtney Hunt,0
director_Courtney Solomon,0
director_Craig Brewer,0
director_Craig Gillespie,0
director_Craig Mazin,0
director_Craig R. Baxley,0
director_Craig Zobel,0
director_Curtis Hanson,0
director_D.J. Caruso,0
director_DJ Pooh,0
director_Daisy von Scherler Mayer,0
director_Dallas Jenkins,0
director_Damian Harris,0
director_Damian Nieman,0
director_Damiano Damiani,0
director_Damien Chazelle,0
director_Damián Szifron,0
director_Damon Santostefano,0
director_Dan Aykroyd,0
director_Dan Bradley,0
director_Dan Fogelman,0
director_Dan Gilroy,0
director_Dan Ireland,0
director_Dan Kwan,0
director_Dan Mazer,0
director_Dan O'Bannon,0
director_Dan Rush,0
director_Dan Scanlon,0
director_Dan Trachtenberg,0
director_Daniel Attias,0
director_Daniel Barber,0
director_Daniel Barnz,0
director_Daniel Espinosa,0
director_Daniel Lee,0
director_Daniel Myrick,0
director_Daniel Petrie,0
director_Daniel Petrie Jr.,0
director_Daniel Sackheim,0
director_Daniel Schechter,0
director_Daniel Stamm,0
director_Daniel Stern,0
director_Daniel Waters,0
director_Danny Boyle,0
director_Danny Cannon,0
director_Danny DeVito,0
director_Danny Leiner,0
director_Danny Pang,0
director_Danny Steinmann,0
director_Dario Argento,0
director_Darnell Martin,0
director_Darren Aronofsky,0
director_Darren Grant,0
director_Darren Lynn Bousman,0
director_Darren Stein,0
director_Daryl Duke,0
director_Dave Filoni,0
director_Dave Green,0
director_Dave McKean,0
director_Dave Meyers,0
director_David Anspaugh,0
director_David Atkins,0
director_David Ayer,0
director_David Bowers,0
director_David Carson,0
director_David Chase,0
director_David Cronenberg,0
director_David Dobkin,0
director_David F. Sandberg,0
director_David Fincher,0
director_David Frankel,0
director_David Gelb,0
director_David Gordon Green,0
director_David Green,0
director_David Greenwalt,0
director_David Hackl,0
director_David Hogan,0
director_David Kellogg,0
director_David Kerr,0
director_David Koepp,0
director_David L. Cunningham,0
director_David L. Hunt,0
director_David Lean,0
director_David Leitch,0
director_David Lowery,0
director_David Lynch,0
director_David Mackenzie,0
director_David Mamet,0
director_David McNally,0
director_David Michôd,0
director_David Mirkin,0
director_David Moreau,0
director_David Moreton,0
director_David Nutter,0
director_David O. Russell,0
director_David Palmer,0
director_David Price,0
director_David R. Ellis,0
director_David Raynr,0
director_David Robert Mitchell,0
director_David S. Goyer,0
director_David S. Ward,0
director_David Schwimmer,0
director_David Seltzer,0
director_David Silverman,0
director_David Slade,0
director_David Soren,0
director_David Twohy,0
director_David Von Ancken,0
director_David Wain,0
director_David Yarovesky,0
director_David Yates,0
director_David Zucker,0
director_Davis Guggenheim,0
director_Dax Shepard,0
director_Dean DeBlois,0
director_Dean Devlin,0
director_Dean Israelite,0
director_Dean Parisot,0
director_Dean Semler,0
director_Deborah Kampmeier,0
director_Debra Granik,0
director_Delbert Mann,0
director_Demian Lichtenstein,0
director_Denis Villeneuve,0
director_Denise Di Novi,0
director_Dennie Gordon,0
director_Dennis Dugan,0
director_Dennis Gansel,0
director_Dennis Hopper,0
director_Dennis Iliadis,0
director_Denzel Washington,0
director_Deon Taylor,0
director_Deran Sarafian,0
director_Derek Cianfrance,0
director_Derrick Borte,0
director_Des McAnuff,0
director_Desmond Davis,0
director_Desmond Nakano,0
director_Destin Daniel Cretton,0
director_Dewey Nicks,0
director_Dexter Fletcher,0
director_Diane English,0
director_Diane Keaton,0
director_Dick Richards,0
director_Diederik Van Rooijen,0
director_Director,0
director_Director X.,0
director_Directors,0
director_Dome Karukoski,0
director_Dominic Sena,0
director_Dominique Othenin-Girard,0
director_Don Bluth,0
director_Don Coscarelli,0
director_Don Hall,0
director_Don Mancini,0
director_Don McKellar,0
director_Don Michael Paul,0
director_Don Roos,0
director_Don Scardino,0
director_Don Siegel,0
director_Don Taylor,0
director_Donald Petrie,0
director_Donald Shebib,0
director_Donna Deitch,0
director_Donovan Marsh,0
director_Doug Atchison,0
director_Doug Ellin,0
director_Doug Lefler,0
director_Doug Liman,0
director_Doug McHenry,0
director_Douglas Aarniokoski,0
director_Douglas Cheek,0
director_Douglas Day Stewart,0
director_Douglas McGrath,0
director_Douglas Trumbull,0
director_Drake Doremus,0
director_Drew Barrymore,0
director_Drew Goddard,0
director_Drew Pearce,0
director_Duke Johnson,0
director_Duncan Gibbins,0
director_Duncan Jones,0
director_Duncan Tucker,0
director_Dustin Hoffman,0
director_Duwayne Dunham,0
director_Dwight H. Little,0
director_Dylan Brown,0
director_E. Elias Merhige,0
director_Ed Decter,0
director_Ed Harris,0
director_Eddie Mensore,0
director_Eddie Murphy,0
director_Edgar Wright,0
director_Edward Burns,0
director_Edward James Olmos,0
director_Edward Norton,0
director_Edward Zwick,0
director_Elaine May,0
director_Eli Roth,0
director_Elizabeth Allen Rosenbaum,0
director_Elizabeth Banks,0
director_Ellory Elkayem,0
director_Emile Ardolino,0
director_Emilio Estevez,0
director_Emir Kusturica,0
director_Eric Blakeney,0
director_Eric Bress,0
director_Eric Brevig,0
director_Eric Darnell,0
director_Eric Karson,0
director_Eric Leighton,0
director_Eric Red,0
director_Eric Schaeffer,0
director_Eric Till,0
director_Eric Valette,0
director_Ericson Core,0
director_Erik Van Looy,0
director_Ernest R. Dickerson,0
director_Ernest Thompson,0
director_Etan Cohen,0
director_Ethan Coen,0
director_Ethan Maniquis,0
director_Eugene Levy,0
director_Euzhan Palcy,0
director_Evan Goldberg,0
director_F. Gary Gray,0
director_F. Javier Gutiérrez,0
director_Fabián Bielinsky,0
director_Farhad Mann,0
director_Fede Alvarez,0
director_Felix van Groeningen,0
director_Fenton Bailey,0
director_Ferdinand Fairfax,0
director_Fernando Meirelles,0
director_Fina Torres,0
director_Fisher Stevens,0
director_Florent-Emilio Siri,0
director_Floria Sigismondi,0
director_Florian Henckel von Donnersmarck,0
director_Floyd Mutrux,0
director_Forest Whitaker,0
director_Fran Rubel Kuzui,0
director_Franc Roddam,0
director_Francesca Gregorini,0
director_Francine McDougall,0
director_Francis Ford Coppola,0
director_Francis Lawrence,0
director_Francis Veber,0
director_Franck Khalfoun,0
director_Franco Zeffirelli,0
director_Frank Coraci,0
director_Frank Darabont,0
director_Frank Henenlotter,0
director_Frank LaLoggia,0
director_Frank Marshall,0
director_Frank Miller,0
director_Frank Oz,0
director_Frank Perry,0
director_Franklin J. Schaffner,0
director_Frant Gwo,0
director_François Girard,0
director_Fraser C. Heston,0
director_Fred Dekker,0
director_Fred Schepisi,0
director_Fred Walton,0
director_Fred Wolf,0
director_Frederik Du Chau,0
director_Fritz Kiersch,0
director_Félix Enríquez Alcalá,0
director_Gabor Csupo,0
director_Gabriele Muccino,0
director_Gail Mancuso,0
director_Gareth Edwards,0
director_Gareth Evans,0
director_Garry Marshall,0
director_Garth Davis,0
director_Garth Jennings,0
director_Gary Chapman,0
director_Gary Dauberman,0
director_Gary David Goldberg,0
director_Gary Fleder,0
director_Gary Goddard,0
director_Gary Halvorson,0
director_Gary McKendry,0
director_Gary Nelson,0
director_Gary Ross,0
director_Gary Sherman,0
director_Gary Shore,0
director_Gary Sinyor,0
director_Gary Trousdale,0
director_Gary Winick,0
director_Gaspar Noé,0
director_Gavin Hood,0
director_Gavin O'Connor,0
director_Gene Quintano,0
director_Gene Saks,0
director_Gene Stupnitsky,0
director_Gene Wilder,0
director_Genndy Tartakovsky,0
director_Geoff Burrowes,0
director_Geoff Murphy,0
director_Geoffrey Sax,0
director_George A. Romero,0
director_George Armitage,0
director_George C. Wolfe,0
director_George Clooney,0
director_George Gallo,0
director_George Hickenlooper,0
director_George Huang,0
director_George Jackson,0
director_George Lucas,0
director_George Miller,0
director_George Nolfi,0
director_George P. Cosmatos,0
director_George Roy Hill,0
director_George Scribner,0
director_George Tillman Jr.,0
director_Gerard McMurray,0
director_Gil Junger,0
director_Gil Kenan,0
director_Gilbert Adler,0
director_Gillian Armstrong,0
director_Gillies MacKinnon,0
director_Gina Prince-Bythewood,0
director_Giuseppe Tornatore,0
director_Glen Morgan,0
director_Glenn Ficarra,0
director_Glenn Gordon Caron,0
director_Gonzalo López-Gallego,0
director_Goran Dukic,0
director_Gordon Chan,0
director_Gore Verbinski,0
director_Gorô Miyazaki,0
director_Graeme Clifford,0
director_Graham Baker,0
director_Grant Heslov,0
director_Greg Beeman,0
director_Greg Berlanti,0
director_Greg Coolidge,0
director_Greg McLean,0
director_Greg Mottola,0
director_Greg Tiernan,0
director_Gregg Araki,0
director_Gregg Champion,0
director_Gregor Jordan,0
director_Gregory Dark,0
director_Gregory Hoblit,0
director_Gregory Jacobs,0
director_Gregory Nava,0
director_Gregory Plotkin,0
director_Gregory Poirier,0
director_Gregory Widen,0
director_Greta Gerwig,0
director_Griffin Dunne,0
director_Guillaume Canet,0
director_Guillermo Arriaga,0
director_Guillermo del Toro,0
director_Gurinder Chadha,0
director_Gus Trikonis,0
director_Gus Van Sant,0
director_Guy Ferland,0
director_Guy Hamilton,0
director_Guy Ritchie,0
director_Gérard Krawczyk,0
director_Hal Ashby,0
director_Hal Hartley,0
director_Hal Needham,0
director_Hallie Meyers-Shyer,0
director_Hans Petter Moland,0
director_Hany Abu-Assad,0
director_Harald Zwart,0
director_Hark Tsui,0
director_Harley Cokeliss,0
director_Harmony Korine,0
director_Harold Becker,0
director_Harold Cronk,0
director_Harold Ramis,0
director_Harry Elfont,0
director_Harry Winer,0
director_Hart Bochner,0
director_Hayao Miyazaki,0
director_Hector Babenco,0
director_Hendel Butoy,0
director_Henry Alex Rubin,0
director_Henry Bean,0
director_Henry Joost,0
director_Henry Selick,0
director_Henry Winkler,0
director_Herbert Ross,0
director_Heywood Gould,0
director_Hideo Nakata,0
director_Hiromasa Yonebayashi,0
director_Hironobu Sakaguchi,0
director_Holly Goldberg Sloan,0
director_Homi Adajania,0
director_Howard Avedis,0
director_Howard Brookner,0
director_Howard Deutch,0
director_Howard Franklin,0
director_Howard McCain,0
director_Howard Storm,0
director_Howard Zieff,0
director_Hoyt Yeatman,0
director_Hu Guan,0
